customer_message,brand_reply,true_intent,should_escalate,reply_checklist,human_grounded,human_relevant,human_tone,thread_id
what’s wrong with the payment functions? All of my cards can’t go through,"Hey Jaime, help's here! Do you get an error message when using your card? Also, can you DM us your account's email address? /SJ",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,815436
I have Premium for Family and I am being charged twice (on 2 of my CCs). I don't know if I have a duplicate account. Help!,"Hey Ana, help's here! Can you DM us your account's email address? We'll take a look backstage /SJ",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1493538
"Keep an eye on your credit card statements for unauthorized charges from and the phone number showing on the credit card statement, to contact Spotify, is not a working number #fraud","Hey! We don't have telephone support, but we'll help here. Can you DM us a screenshot of how the charge appears on the bank statement? /JL",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1942318
"hey there, been having issues with my premium account the past couple days. Seems like it is due to my payment not going through,but I'm sure my card info is valid. Any solutions to follow here? Thanks in advance for the help!",Hey there! Can you DM us your account's email address and a screenshot of any error messages you're seeing? We'll take a look /RB,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,128180
GAVE up. Spent 15 min lookng 4 upgrade button. Wont spend another sec wrking to give u my 💰 if the app dsnt make it ez to pay u.,Hey there! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1903397
I just got an email saying it was a receipt. I still haven't been able to listen to a single song. What screen shots am I supposed to get again? I if I find I have been billed again to be correct with an UNUSABLE DESTROYED ACCOUNT. THEN I'VE HAD ENOUGH,"Don't worry, we'll be sure to get this cleared up for you. We've sent over a DM with more help. Reply there when you get the chance! /J",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2609421
Can I get a 30 day free trial if I upgrade to premium with UNIdays as I am a student and want to try before I buy?,Hi Hannah! We'd like to check your account backstage. Could you DM us your email address? We'll be waiting here /NY,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2613414
I need some help about payment can you contact me ?,Hey Atakan! Can you tell us a bit more about what's going on? We'll see what we can suggest /TF,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2492538
"I want to invite my wife to family plan but Something is wrong with the address, I need to see my address",Hi Mayanin! We're afraid it's not possible to view or change the address you've entered when signing up for the Family plan. Can you DM us your accounts' email address? We'll see what we can suggest /WW,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2866612
"I pressed ""Learn More"" and then ""Get Started"" and then it takes me to a screen to edit credit card info. Don't see another option.",No worries! Could you DM us your Spotify account's email address? We'll take a look under the hood /BH,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,784861
please help me I have two months paid but no premium service!!!,"Hey there, help's here! Can you DM us your account's email address? We'll take a look under the hood /MV",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,963755
hey why can't I buy premium? I'm tapping on my account & I don't see the upgrade to premium option.,Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,378739
"I've subscribed to Premium but still have trial. Payment gone through, have logged out and in again",Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,1380899
"hello, why i can't update payment menthod for premium? always like this when i want update..","Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2491636
"if I purchase the premium family plan, can we pay upfront? Meaning, how do we avoid monthly charges to a credit card?",Hey! Can you DM us your account's username and email address? We'll see what we can suggest /JL,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,959760
"Not payment issues, but the Android app is refusing to load any content. Which, given I'm a Premium user? Really, really annoying.","Hey there. That doesn't sound good. Can you let us know the device, along with the Android and Spotify versions you're rocking? /QI",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,934577
"if the share function on android isn't fixed by Monday, Im gonna need a refund cause I'll be going back to Tidal 😌","Hey, thanks for the report. Our tech folks are investigating this as we speak. We appreciate your patience /MQ",billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,854630
I’m on free because premium cost money and like I listen to a playlist with numerous artists and then it creates a radio for it which confuses me because I don’t read which one is which.,Thanks. We're afraid Suggested Tracks will play when listening to an album or playlist as it's part of our Free service: You can check out if you haven't had Premium before. Give us a shout if there's anything else /RE,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2933217
i am having lots of payment issues please help,Hey! Can you DM us your account's email address? We'll see what we can suggest /CB,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,822871
I was invited in family but I can't upgrade my account WHY?,Hi there! Could you send us a DM with your account's email address? We'll take a look backstage and see what we can do /DR,billing_subscription,escalate,Acknowledge charge issue; do NOT promise refund; direct to billing team; give timeline expectation,,,,2290951
I can't shuffle and I finally figured out it's only when I'm playing through bluetooth on my Mazda CX-5...which is always!,"Hey there! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2599164
Has a recent update broken playing Spotify on a Sonos Play1 using Spotify Connect from the Spotify app? #whoistoblame,"Hey there! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /RC",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,576174
every time I try to join the family invitation I get an error message - Oops something went wrong?,"Can you send us your account's email address? Also, can you send us a screenshot of what you're seeing? We'll take a look backstage /SJ",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,965744
"Even play any song from the playlist, a different playlist etc. it just won't play I've already exited and went back into the app many times","Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /PL",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1295665
I can’t see the song playing also can’t skip it,"Hey Alan, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1167977
"Yo , the app keeps crashing every time I try to share a song on my pixel!","Hi Anelise! Our best tech folks are on the case as we speak. Hopefully, we'll have a fix soon /AU",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1074046
"hey there, so i'm playing a playlist and then denzel curry - ultimate comes on and plays, but the song keeps ""playing"" after the song is over. the song was supposed to be over at 3:09 but it's now at 25:15 with no sound or anything and i can't pause or skip. pls hlp",Hey there! Could you let us know what device/OS you're using? We'll see what we can suggest /DF,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,102207
"iPhone 6S, IOS 11.0.2. Playlists won’t shuffle. Button turns off when it goes to the next song. Have deleted and reinstalled several times",Is this happening while you're streaming or listening to offline music? Do you recall when this issue started? /MG,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2511294
"My Spotify computer app has legit said ""offline"" for 4 months and every attempt that customer service has attempted has failed miserably.",Thanks. Can you DM us your account's username or email address? We'll check backstage /NG,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,100118
BUT! I have an error message here,We understand. Just wanted to make sure if the app was reinstalled with the recommended steps. Can you DM us your account's username? /MU,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1833858
"Hey , why does my personalized running playlist only play songs I dont know and have never heard? Not very personal.","Hey! It should be similar or based off of your previous listening habits and your library content. For now, we'll pass on your feedback /RK",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1792568
Why can I not access my queue on my iPhone app?,Hey there! Can you let us know the iOS and Spotify version you're using? We'll see what we can suggest /RH,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2526433
when will their be a update to support the iPhone X? Mine has been having a hard time connecting and running slow :(,"Hey Tim, helps! here! Can you let us know your exact iOS and Spotify versions? We'll see what we can suggest /JP",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2404019
hey dudes. Are you aware of the iOS11 bug that prevents Spotify controls? Can’t use my AirPods or CarPlay anymore with the app,"Hey! Can you tell us more about what's happening? If you could DM us your account's email address, we'll check things backstage too /CP",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,395720
"Hi, thanks for getting back so fast! I think it’s sorted itself! The message has gone and I can do more than shuffle! Thank you anyway! :)",That's fantastic news! Let us know if you need anything else. We're always... /DN,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2182202
I need help linking my Facebook page it keeps giving me an error. I emailed you 3 times and haven’t gotten a response.,Hey! We can chase this up for you. Could you DM us your 8-digit case number and account's email address? We'll take a look backstage /RA,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2516150
It said “503. No server to handle request”. I’ve gone with Amazon Music now but thank you anyway 😘,You're welcome! Let us know if you ever need us again. We'd be... ✌️ /JM,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2786604
"HTC 10 unlocked, android 7. I think it was happening when it was transitioning from bad wifi to cell data being off but can't recall when I pressed play. Why can't I load local data then update later? I was walking away from my home at the time.","Thanks for letting us know. Can you try logging out, restarting your device, then logging back in? Let us know if that helps /QI",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,573785
"MacOS 10.12.6 and no clue how to tell spotify version. Just started acting up now, and won't play this album at all.","Thanks. To make sure you're using the updated version of the app, we'd suggest a reinstall: Let us know if the same thing happens afterwards /LW",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2773498
I usually use my phone. I also downloaded the song onto my Apple Music library and it sounds fine when I listen to it on there.,"Thanks! Could you give us more detail on the song's beat? Also, what phone model, operating system, and Spotify version are you using? /MT",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1403652
I'm a premium subscriber and my computer (web app) is stuck in shuffle mode! Heeeeeelp!! I can't play any song I click on.,Hey! That doesn't sound good. Can you DM us your account's email address? We'll take a look backstage /AU,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2048219
do somethingThe shuffle option on the app. It is god awful. I dont put it on shuffle to hear the same song 3 mins later,Hey! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /CH,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1852632
"Hey, getting the 'Can't play the current song' on desktop Mac (Sierra). Have restarted app and computer but still occurring","Hey Stuart! Is this happening on any other devices? Also, can you send us the Spotify URI? Just right-click the track > Share > URI /MQ",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1974129
"Thanks, but that’s not exactly a solution. There’s still no way to sort downloads/offline music.",We understand. We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted /QI,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,568981
Hey can the suggested songs not overkill the album i am actually keen on pkaying. Went: Track want to hear Suggested song Suggested song Album track Suggested song Album track Ad Suggested song Suggested song Like really... not to mention the ad song ad crap ive had.,"Hi! We appreciate your feedback. We'll make sure to pass it on to the right team. For now, try adding more artists to your playlists to reduce the number of Suggested Tracks you get. If there's anything else, just give us a shout /AU",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,544583
"No error messages are coming up on mobile, but when looking on pc, it just says that this song isn’t available, and to import it","Got it. Can you try logging out of Spotify, restart your device, then log back to see if that helps? Any better? /NY",playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1007942
can y'all improve the shuffle feature bc it sucks and plays the same shit all the time,Hey! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /NQ,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2288872
"got a free 7 day trial code for the Android mobile app, downloaded some albums - 2 days later they're not available any more?",Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /MA,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,1843418
any update on your app? Nothing will load,Hey Cara! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /JE,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2913859
"Good to know. Does that mean subscribers can make fresh downloads for offline listening, and stream music when abroad for extended periods of time > 14 days ? In other words, are there any limitations for subscribers at all when abroad > 14 days ? Thanks 🙏.",Premium users will always be able to use the app as normal even if they're abroad for more than 14 days. Hope this clears things up /AY,playback_technical,auto_handle,Acknowledge problem; suggest quick fix (reinstall / clear cache / check connection); ask device/OS if needed,,,,2165462
"Hi guys, so I somehow asked to cancel my Spotify from my pocket, case number is 09678071 please can you ignore this.",Hey Chris! Thanks for the heads-up; we won't close your account as requested. Let us know if you need help with anything else /KB,cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,1814783
I am a Groove Music member and now want to move my music to Spotify. Do I wait until Dec to cancel? I don't want 2b billed2x,"Hey Delsin! We have more info about the migration at Any other questions, just give us a shout /SJ",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,753653
I need help figuring out which account is associated with my card so that I can cancel it,"1: Hey, help's here! Can you shoot us a DM with a copy of your bank statement showing the charge? Make sure that it won't include...",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,1810986
having no easy way to contact you to caacel an account is unethical we don't have an account with you so how can we cancel payments with no account can't join community for answers as apparently I don't have sufficient privileges but i'm paying you,"Hey, we understand how you feel about it. Don't worry, we'll help sort this out. Could you send us a DM with all the email addresses/usernames you're using? We'll double-check backstage /AY",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,2763667
"hi I'm tryin to cancel my premium subs,but when I try to go to page to press cancel it's telling me I'm a free user","Hey Joe, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,634034
Optimisation for iPhone X before the end of the week or else I’m not renewing my Premium subscription,Hey there! We hear you - we’re working on it as we speak. Stay tuned /MC,cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,2613396
"I want to cancel whatever I am paying 9.99 a month for. I have no account apparently, so I can't cancel it! Free thru Toyota for a month maybe? Stop billing me.",2: make sure that the image you're sending doesn't contain your full 16-digit payment card number. We'll take a look backstage. /RA,cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,2293019
can you cancel my account for me I’m switching to Apple Music,"No worries David, you can cancel anytime by heading to Let us know if you need a hand, we'd be happy to help /VK",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,1797151
I've tried the reinstall but the same error appears. This is quite frustrating as I have a premium subscription which I cannot use.,"Just to confirm, the issue isn't there if you're directly connected to the WiFi, correct? Does restarting your router help at all? /NY",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,1125892
"Nope, quite a few people with one plus 3s are having this issue please fix it, not paying for premium if this persists, music is unlistenable","We hear you. Just to check, is it the same for both streamed and offline songs? Can you also let us know if using a different internet connection makes a difference? /TB",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,558610
how the fuck do you block or delete followers on my account??!! its so fucking frustrating and annoying. please fix this feature. thanks,"Hi there! We're afraid blocking followers isn't currently possible. To help make this happen, we'd suggest supporting the idea in our Community at If you have any other questions, feel free to send us a tweet /DR",cancellation,escalate,Explain cancellation steps; confirm what happens post-cancel (reverts to free); mention premium features lost,,,,558588
